"","method","variate","design","number","RMSE","k","methodID","rRMSE"
"256","exhaustive_caret_5k","AGB","clusterStrong",56,29.440028744219,NA,0,0
"257","exhaustive_caret_5k","AGB","clusterStrong",57,28.3196321568882,NA,0,0
"258","exhaustive_caret_5k","AGB","clusterStrong",58,29.8105295455071,NA,0,0
"259","exhaustive_caret_5k","AGB","clusterStrong",59,28.7663081086771,NA,0,0
"260","exhaustive_caret_5k","AGB","clusterStrong",60,31.0281897574071,NA,0,0
"261","exhaustive_caret_5k","AGB","clusterStrong",61,29.5498414250923,NA,0,0
"262","exhaustive_caret_5k","AGB","clusterStrong",62,28.2714891617123,NA,0,0
"263","exhaustive_caret_5k","AGB","clusterStrong",63,28.357283216943,NA,0,0
"264","exhaustive_caret_5k","AGB","clusterStrong",64,28.369663837065,NA,0,0
"265","exhaustive_caret_5k","AGB","clusterStrong",65,29.5584983589717,NA,0,0
"266","exhaustive_caret_5k","AGB","clusterStrong",66,29.0871075809138,NA,0,0
"267","exhaustive_caret_5k","AGB","clusterStrong",67,28.8956367160149,NA,0,0
"268","exhaustive_caret_5k","AGB","clusterStrong",68,28.5848945474248,NA,0,0
"269","exhaustive_caret_5k","AGB","clusterStrong",69,28.2631582567539,NA,0,0
"270","exhaustive_caret_5k","AGB","clusterStrong",70,28.201581632243,NA,0,0
"271","exhaustive_caret_5k","AGB","clusterStrong",71,30.0694204550618,NA,0,0
"272","exhaustive_caret_5k","AGB","clusterStrong",72,30.2626750855917,NA,0,0
"273","exhaustive_caret_5k","AGB","clusterStrong",73,29.591565619214,NA,0,0
"274","exhaustive_caret_5k","AGB","clusterStrong",74,30.6353515267014,NA,0,0
"275","exhaustive_caret_5k","AGB","clusterStrong",75,29.0154490783398,NA,0,0
"276","exhaustive_caret_5k","AGB","clusterStrong",76,29.1191413934605,NA,0,0
"277","exhaustive_caret_5k","AGB","clusterStrong",77,28.9886612248441,NA,0,0
"278","exhaustive_caret_5k","AGB","clusterStrong",78,29.0953185969981,NA,0,0
"279","exhaustive_caret_5k","AGB","clusterStrong",79,29.3928728494791,NA,0,0
