k,dsample,RMSE_surf,MAE_surf,R2_surf,RMSE_knndm,MAE_knndm,R2_knndm,W_knndmCV
10,random,0.09181390699716815,0.07083112499688553,0.8695695310384481,0.08767169618897096,0.0697492257670344,0.8753728784198085,2380.509634791804
10,wclust,0.11313986253244174,0.086048123008769,0.8538189785263585,0.11339338243645508,0.0932118837556819,0.7043678149544301,11876.780725436154
10,sclust,0.12499903918410296,0.08811289326108243,0.765282007087855,0.13760223829631582,0.1124785011199862,0.4730445105616615,22604.46052405931
12,sregular,0.09819427633595171,0.07399377301530692,0.8500899967953027,0.09853541012909933,0.07738522701807712,0.8491251060972869,12563.239822789035
12,wregular,0.08589877783653972,0.06583255113097841,0.8903855894393,0.09651487316519863,0.07303430399466,0.8533002396467136,12014.03765458418
12,random,0.0865791865119429,0.06811333843773715,0.9126474856584381,0.09611610027853439,0.07349108650910978,0.851369857857218,3992.949264309481
12,wclust,0.12604851834819164,0.09440776768963524,0.7858531004827113,0.13809776955342382,0.08782263971632967,0.4799986372549798,15776.370821696737
12,sclust,0.09819262642654891,0.07696437741518526,0.8516828377013059,0.1361603793089022,0.11515026804066537,0.7621379027088683,16647.04582494812
14,sregular,0.09061897044513129,0.06853126953462384,0.871774751623741,0.09800020330299307,0.07028125115171252,0.8575852301906031,15342.85788979979
14,wregular,0.09260156378298319,0.07172895273237251,0.8769883124896495,0.09370454385100532,0.06642976634828958,0.8437430866216789,8858.485543970093
14,random,0.09671320954112647,0.07324839587802974,0.8501034257890975,0.0859795386301401,0.06530606994402305,0.8918052148487414,3826.1008179650416
14,wclust,0.12062052313588967,0.08543389891148813,0.7442075196911431,0.09518726420926647,0.07054393239786227,0.7861687501362543,14365.443608230245
14,sclust,0.11508167435900782,0.08136316807773955,0.7799863033484145,0.14424989294962587,0.10446581429173549,0.61800095432305,11445.895894608286
16,sregular,0.07740990821131892,0.0598066090614306,0.9135924611151134,0.09940235283507064,0.0790294585065699,0.8737026708646352,17834.62508798056
16,wregular,0.1072578698177146,0.0822183291941952,0.808612675857898,0.08854782402964644,0.07139828732859656,0.8651693873643261,4341.637611082205
16,random,0.09089483320818263,0.06962201582645286,0.8993017563791693,0.09555321516916769,0.07073616640494516,0.850208146553216,2097.94807435887
16,wclust,0.11025326901427587,0.08362537350207741,0.8291429546762619,0.10763109438902817,0.07575344111815095,0.775054059158429,11577.548576009074
16,sclust,0.18014959714293033,0.1272780626460622,0.469344294433889,0.13655809921741124,0.0924485443163663,0.27816074336796953,19556.273367266367
18,sregular,0.08690069177536906,0.06782417578858782,0.888877236507483,0.10283223542228395,0.0754245462688307,0.8102431287248298,15993.62349849608
18,wregular,0.07711301794163146,0.06019414464105638,0.9090555741359001,0.10403959590853183,0.07704238692522992,0.8576333503832655,5219.01598926191
